label,nbPixels,meanB0,meanB1,meanB2,varB0,varB1,varB2
37,1985,138.474060058593750,67.795463562011719,7.520906925201416,1197.300415039062500,422.365417480468750,152.061172485351562
1,231059,255.436370849609375,255.376296997070312,255.302520751953125,-126.270492553710938,-119.330314636230469,-109.899467468261719
3,95994,89.439872741699219,48.508762359619141,12.637925148010254,453.557067871093750,238.468719482421875,113.211158752441406
7263,8722,92.376747131347656,55.219100952148438,11.926851272583008,387.116149902343750,172.683639526367188,37.307804107666016
6262,3733,67.929008483886719,35.102867126464844,7.263595104217529,236.239547729492188,94.399383544921875,61.612709045410156
7547,1178,87.525466918945312,51.127334594726562,8.581494331359863,261.347503662109375,99.054374694824219,5.631843566894531
6702,5492,76.256553649902344,42.620357513427734,8.837945938110352,229.004913330078125,112.072303771972656,38.863548278808594
8020,2324,111.803359985351562,71.286575317382812,13.761617660522461,269.908752441406250,162.774429321289062,25.356840133666992
10717,1357,82.588058471679688,48.417835235595703,8.143699645996094,190.893066406250000,78.635879516601562,5.065617084503174
10385,4996,1.784427523612976,27.125299453735352,19.061849594116211,37.453220367431641,49.043342590332031,52.988563537597656
10319,5136,0.935163557529449,18.347351074218750,15.848909378051758,3.717509269714355,23.355842590332031,8.515822410583496
13055,2482,3.348509311676025,11.701450347900391,5.840048313140869,19.080024719238281,40.111949920654297,23.233978271484375
14309,1792,99.054130554199219,61.184711456298828,16.546875000000000,303.356781005859375,222.428817749023438,108.512596130371094
14546,3248,2.804495096206665,19.533559799194336,11.426724433898926,38.254035949707031,44.991798400878906,34.383911132812500
14524,1388,113.489196777343750,72.522331237792969,20.963977813720703,440.846435546875000,472.826599121093750,243.375762939453125
16046,1248,117.888618469238281,75.397438049316406,20.093750000000000,295.684051513671875,383.832397460937500,186.368911743164062
15077,2029,3.383933067321777,17.568260192871094,5.480039596557617,50.671554565429688,40.564010620117188,25.091934204101562
